Model,Split,Target,Residual
Linear Regression,train,triglycerides,-0.00024421386906237075
Linear Regression,train,triglycerides,-0.10526179757928578
Linear Regression,train,triglycerides,-0.8408823608919724
Linear Regression,train,triglycerides,0.22256277183265816
Linear Regression,train,triglycerides,-0.5532394966765848
Linear Regression,train,triglycerides,-0.296986182226064
Linear Regression,train,triglycerides,-0.532165183639703
Linear Regression,train,triglycerides,-0.10633328709758638
Linear Regression,train,triglycerides,-0.510085123513671
Linear Regression,train,triglycerides,1.1324348641745265
Linear Regression,train,triglycerides,-0.5412014201982815
Linear Regression,train,triglycerides,0.18937262182842485
Linear Regression,train,triglycerides,-0.4367896144092538
Linear Regression,train,triglycerides,0.712210732193288
Linear Regression,train,triglycerides,0.16405187509120012
Linear Regression,train,triglycerides,-0.1415240131789961
Linear Regression,train,triglycerides,0.25904264073532435
Linear Regression,train,triglycerides,0.5843251288308213
Linear Regression,train,triglycerides,-0.02091517651724928
Linear Regression,train,triglycerides,0.3979938009851418
Linear Regression,train,triglycerides,1.0397070057622564
Linear Regression,train,triglycerides,0.8081434209550808
Linear Regression,train,triglycerides,0.05072864829752355
Linear Regression,train,triglycerides,-0.1939494262981576
Linear Regression,train,triglycerides,1.0345202423711752
Linear Regression,train,triglycerides,-0.6896176188218934
Linear Regression,train,triglycerides,-0.8271248601169114
Linear Regression,train,triglycerides,-0.06897253891849076
Linear Regression,train,triglycerides,-0.7757405052274442
Linear Regression,train,triglycerides,0.21143386555675825
Linear Regression,train,triglycerides,0.2578139717899095
Linear Regression,train,triglycerides,0.6004842467759275
Linear Regression,train,triglycerides,-0.5645026537062625
Linear Regression,train,triglycerides,-0.23135457297227102
Linear Regression,train,triglycerides,-0.8264878563582232
Linear Regression,train,triglycerides,0.7954028253863141
Linear Regression,train,triglycerides,-0.9105759052839901
Linear Regression,train,triglycerides,0.5852898111149099
Linear Regression,train,triglycerides,0.11304428517411136
Linear Regression,train,triglycerides,-0.6937122054519023
Linear Regression,train,triglycerides,0.7445679774348379
Linear Regression,train,triglycerides,-0.5009439356581558
Linear Regression,train,triglycerides,-0.01244600500543136
Linear Regression,train,triglycerides,0.4378944690745845
Linear Regression,train,triglycerides,-0.7037625389496802
Linear Regression,train,triglycerides,0.4624621729945666
Linear Regression,train,triglycerides,-0.7338004160107197
Linear Regression,train,triglycerides,-0.5094325201069227
Linear Regression,train,triglycerides,-0.36841327965032633
Linear Regression,train,triglycerides,-0.8822296927622482
Linear Regression,train,triglycerides,-0.17760295554809336
Linear Regression,train,triglycerides,0.3947221206233058
Linear Regression,train,triglycerides,-0.20627188062738977
Linear Regression,train,triglycerides,0.6981173479023877
Linear Regression,train,triglycerides,-0.16120815269327693
Linear Regression,train,triglycerides,0.2342778141203734
Linear Regression,train,triglycerides,0.7378582693438531
Linear Regression,train,triglycerides,-0.46010490528710246
Linear Regression,train,triglycerides,-0.43020371227481613
Linear Regression,train,triglycerides,1.155618735480929
Linear Regression,train,triglycerides,-0.10105205617453628
Linear Regression,train,triglycerides,0.14390137218842103
Linear Regression,train,triglycerides,0.4029318213307507
Linear Regression,train,triglycerides,-0.4483474488034993
Linear Regression,train,triglycerides,0.49566182021463145
Linear Regression,train,triglycerides,1.3546618246609876
Linear Regression,train,triglycerides,-0.2716747102555441
Linear Regression,train,triglycerides,-0.3481614550854992
Linear Regression,train,triglycerides,0.541478067406115
Linear Regression,train,triglycerides,-1.015593968347296
Linear Regression,train,triglycerides,-0.8884796125058245
Linear Regression,train,triglycerides,0.48183031924802666
Linear Regression,train,triglycerides,0.6305489406391658
Linear Regression,train,triglycerides,-0.1531462217547137
Linear Regression,train,triglycerides,0.06979779214281212
Linear Regression,train,triglycerides,-0.597460408826676
Linear Regression,train,triglycerides,-0.013303083911157643
Linear Regression,train,triglycerides,0.3129837478790236
Linear Regression,train,triglycerides,0.38215366609880697
Linear Regression,train,triglycerides,0.8636697293761557
Linear Regression,train,triglycerides,-0.40767411038956247
Linear Regression,train,triglycerides,0.1826451267146476
Linear Regression,train,triglycerides,0.6243005672823392
Linear Regression,train,triglycerides,-0.14502284992186265
Linear Regression,train,triglycerides,-0.6475906139428202
Linear Regression,train,triglycerides,-0.02781290732342967
Linear Regression,train,triglycerides,-0.7939157533987604
Linear Regression,train,triglycerides,0.4112896574153888
Linear Regression,train,triglycerides,-0.11361064544164545
Linear Regression,train,triglycerides,0.6290216709726977
Linear Regression,train,triglycerides,0.12965585967145277
Linear Regression,train,triglycerides,1.1468494941764877
Linear Regression,train,triglycerides,-0.5894639742181047
Linear Regression,train,triglycerides,0.05424973600113425
Linear Regression,train,triglycerides,-0.37285510654719545
Linear Regression,train,triglycerides,0.46934151804943713
Linear Regression,train,triglycerides,0.14550293258141078
Linear Regression,train,triglycerides,-0.4589226325989433
Linear Regression,train,triglycerides,-0.10751038403799384
Linear Regression,train,triglycerides,-0.2135473389217224
Linear Regression,train,triglycerides,0.16586746983041767
Linear Regression,train,triglycerides,0.10773997699916205
Linear Regression,train,triglycerides,0.5276580539299331
Linear Regression,train,triglycerides,-0.10476102451099045
Linear Regression,train,triglycerides,0.11074624726541327
Linear Regression,train,triglycerides,0.14959025285556393
